,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1,2018-12-14,BATAINDIA,EQ,1086.65,1075.15,1104.0,1074.15,1086.1,1091.3,1090.37,856295,93367422025000.0,31668,106989,0.12490000000000001
2,2018-12-17,BATAINDIA,EQ,1091.3,1091.15,1104.8,1087.0,1091.1,1092.4,1094.78,643986,70502472000000.0,19963,79610,0.1236
3,2018-12-18,BATAINDIA,EQ,1092.4,1082.25,1102.7,1082.25,1096.4,1098.15,1092.26,638077,69694898579999.99,23214,111152,0.17420000000000002
4,2018-12-19,BATAINDIA,EQ,1098.15,1096.0,1127.9,1092.0,1117.5,1116.45,1118.83,1371418,153437765930000.0,37927,147688,0.1077
5,2018-12-20,BATAINDIA,EQ,1116.45,1107.0,1116.5,1101.65,1105.95,1106.8,1108.81,631415,70011982635000.0,25956,228508,0.3619
6,2018-12-21,BATAINDIA,EQ,1106.8,1106.0,1139.0,1102.2,1111.3,1118.7,1118.79,1802170,201624565920000.0,39625,524116,0.2908
0,2018-12-13,BEL,EQ,80.2,81.1,85.15,80.65,84.9,84.4,83.11,17240148,143276705310000.0,43685,6710324,0.38920000000000005
1,2018-12-14,BEL,EQ,84.4,84.9,84.9,81.25,82.4,82.4,82.62,9903654,81826221970000.0,35404,4160083,0.4201
2,2018-12-17,BEL,EQ,82.4,82.8,84.5,82.75,83.3,83.75,83.53,8010840,66911191045000.01,29393,3461643,0.43210000000000004
3,2018-12-18,BEL,EQ,83.75,83.3,84.6,82.85,84.25,84.35,83.79,8960701,75084240315000.0,40360,4120522,0.4598
4,2018-12-19,BEL,EQ,84.35,84.65,87.3,84.4,86.7,86.65,86.08,11879532,102254340565000.0,59052,5189489,0.4368
5,2018-12-20,BEL,EQ,86.65,85.85,90.95,85.4,90.45,90.3,88.82,20886154,185520995610000.0,85272,8458007,0.405
6,2018-12-21,BEL,EQ,90.3,91.15,94.8,88.0,88.1,88.4,90.89,37783500,343424931415000.0,165589,10378676,0.2747
0,2018-12-13,BEML,EQ,745.35,748.0,793.25,748.0,785.0,785.65,777.02,2068750,160746218990000.0,41559,204004,0.0986
1,2018-12-14,BEML,EQ,785.65,783.65,800.7,774.0,781.0,783.85,787.39,1703505,134132198930000.0,36967,80215,0.0471
2,2018-12-17,BEML,EQ,783.85,786.9,850.0,778.4,849.0,846.4,825.25,6302635,520126475089999.94,114548,297233,0.0472
3,2018-12-18,BEML,EQ,846.4,846.8,864.0,837.85,852.0,855.55,855.27,5419050,463473010420000.0,90786,320334,0.0591
4,2018-12-19,BEML,EQ,855.55,852.5,862.0,843.1,847.65,848.9,853.46,1608782,137302440145000.0,31382,91025,0.056600000000000004
5,2018-12-20,BEML,EQ,848.9,846.95,920.9,842.05,911.6,913.35,902.29,9449144,852585774885000.0,161128,338802,0.0359
6,2018-12-21,BEML,EQ,913.35,913.35,945.9,881.7,886.95,887.45,914.2,12561363,1148365619845000.0,215194,546280,0.0435
0,2018-12-13,BERGEPAINT,EQ,318.95,319.5,321.25,314.5,317.85,316.75,317.31,357421,11341355705000.0,6193,107713,0.3014
1,2018-12-14,BERGEPAINT,EQ,316.75,317.85,324.0,315.0,323.0,323.15,321.34,843265,27097369850000.0,12320,248619,0.2948
2,2018-12-17,BERGEPAINT,EQ,323.15,323.0,324.8,318.75,323.5,323.05,321.9,701183,22570822245000.0,8975,291084,0.41509999999999997
3,2018-12-18,BERGEPAINT,EQ,323.05,323.0,329.6,320.25,328.55,328.5,326.05,1620170,52826370505000.0,32206,570733,0.3523
4,2018-12-19,BERGEPAINT,EQ,328.5,334.5,343.35,332.2,342.8,340.75,336.39,2568443,86400149965000.0,45924,675696,0.2631
5,2018-12-20,BERGEPAINT,EQ,340.75,340.2,344.85,337.15,341.7,339.45,341.23,818694,27935944275000.0,11817,214937,0.2625
6,2018-12-21,BERGEPAINT,EQ,339.45,341.0,341.75,329.6,332.15,330.65,334.26,444971,14873697255000.002,8079,127183,0.2858
0,2018-12-13,BHARATFIN,EQ,995.85,1007.0,1033.35,996.5,1014.55,1013.75,1012.8,1290761,130727772830000.0,23383,626583,0.4854
1,2018-12-14,BHARATFIN,EQ,1013.75,1016.0,1022.0,1006.4,1022.0,1017.65,1014.59,509673,51711014035000.0,9610,283520,0.5563
2,2018-12-17,BHARATFIN,EQ,1017.65,1012.55,1041.5,1012.55,1035.0,1035.35,1032.3,600530,61992820575000.0,18388,271286,0.45170000000000005
3,2018-12-18,BHARATFIN,EQ,1035.35,1031.0,1038.9,1016.25,1035.8,1035.4,1028.42,528633,54365426850000.0,31623,331454,0.627
4,2018-12-19,BHARATFIN,EQ,1035.4,1036.85,1047.85,1017.75,1021.5,1021.4,1034.61,685782,70951556970000.0,34045,316513,0.4615
5,2018-12-20,BHARATFIN,EQ,1021.4,1020.0,1028.0,1010.45,1025.7,1023.15,1018.82,254848,25964442500000.0,12677,100452,0.39420000000000005
